,sentenca,palavras_chave,resultado
222,gostaria de saber como se faz chapisco como deve ser aplicado e como preparar a massa,revestimento reboco green chapisco,processo processo fabricação fabricação
223,poliestireno expandido,isopor isolamento térmico poliestireno,processo processo fabricação fabricação
224,qual a relacao de bolinhas de isopor do tipo perola ex um equivale a quantos kilos de bolinhas,isopor isolamento térmico poliestireno,processo água fabricação pedra
225,reaproveitamento de residuo de poliuretano pu,espuma poliuretano gelo refrigeração,processo processo fabricação fabricação
226,a espuma usada na fabicacao de colchoes e considerada de acordo com abnt nbr versao um residuo classe ii a nao inertes e a legislacao fala de aterro industrial ou controlado ou sejacontratando uma empresa para coleta deste material em questao e o transportando a um aterro adequado resolvo o problema porem gostaria de saber se ha uma solucao tecnica como uma segunda ou terceira alternativa por exemplo reutilizacao pela propria fabrica venda para algum segmento que utilize borra de espuma tratamento quimico etc gostaria de um apoio nesta pesquisa estou a procurar esta segunda alternativa gostaria de nao ter que depositar este residuo no aterro obrigado pela atencao fico no aguardo leonardo,espuma poliuretano gelo refrigeração,processo legislação fabricação pedra
227,tintura e tinturamae,uso medicinais farmácia medicinal,processo água fabricação pedra
228,qual a diferenca entre tintura e tinturamaequal o metodo para se obterem as duas,uso medicinais farmácia medicinal,processo água fabricação pedra
229,gostaria de saber sobre reciclagem de coco e subprodutos,coco casca verde beneficiamento,processo processo fabricação fabricação
230,flores e plantas para jardins,rosa jardim paisagismo baru,processo processo fabricação fabricação
231,quais as flores e plantas que podem ser utilizadas em jardins de inverno e em jardins externos,rosa jardim paisagismo baru,processo água fabricação pedra
232,po da casca do coco verde,coco casca verde beneficiamento,processo processo fabricação fabricação
233,eu ja produzo substrato de coco verde po de casca porem gostaria de saber qual e o momento que posso identificar que o substrato esta pronto para a venda ja que logo apos sua producao ele entra em fermentacao,coco casca verde beneficiamento,processo legislação fabricação patente
234,fornecedores de plantas medicinais,uso medicinais farmácia medicinal,processo processo fabricação fabricação
235,gostaria de obter informacoes sobre processamento formas de apresentacao dos derivados metodos para a extracao e fornecedores de plantas medicinais,uso medicinais farmácia medicinal,processo processo fabricação fabricação
236,fabricacao de amaciante para roupas a quente e a frio,roupa amaciante toque maciez,processo processo fabricação fabricação
237,qual a diferenca em questao de reagentes e qualidade do produto final entre producao de amaciante de roupas a frio e a quente como realizar cada um dos processos qual o efeito da associacao de alcool cetoestearilico com o quaternario de amonio,roupa amaciante toque maciez,processo água fabricação pedra
238,reciclagem de terra fuller,oxigênio hidrogênio oxidação peróxido,processo processo fabricação fabricação
239,ha alguma possibilidade de reaproveitamento de terra fuller argila resultante dobranqueamento de sebo bovino existe alguma outra forma para clarificacao de sebo bovinosenao por filtro prensaterra fuller,oxigênio hidrogênio oxidação peróxido,alimentos produto fabricação combustível
240,enxaguante bucal,alho essencial limão aroma,processo legislação fabricação patente
241,desejo formula para fabricacao de enxaguante bucal,alho essencial limão aroma,processo processo fabricação pedra
242,corante carmim,corante palma gigante clorofila,processo água fabricação pedra
243,desejo receber informacoes sobre como produzir beneficiar industrializar e saber quaisempresas compradoras do corante carmim da palma forrageira,corante palma gigante clorofila,processo processo fabricação pedra
244,estrutura para telhado rural,casa brinquedo telhado decoração,processo legislação fabricação patente
245,deseja informacoes sobre que tipo de estrutura alternativa pode ser usada na construcao de um telhado rural,casa brinquedo telhado decoração,processo processo fabricação pedra
246,concreto autoadensavel,concreto cimento impermeabilizante traço,processo água fabricação pedra
247,desejo obter as descricoes gerais do concreto autoadensavel bem como as quantidadesproporcoes de materiais cimento areia brita e aditivos plastificantes que sao utilizados na composicao do mesmo,concreto cimento impermeabilizante traço,processo processo fabricação pedra
248,pintura de tapete de fibra de coco,coco casca verde beneficiamento,processo processo fabricação fabricação
249,como pintar tapetes de fibra de coco qual o tipo de tinta utilizada,coco casca verde beneficiamento,processo água fabricação pedra
250,espessura de reboco,revestimento reboco green chapisco,processo legislação fabricação patente
251,no processo de revestimento existe uma espessura minima para o reboco ou podese fazer o mais fino possivel,revestimento reboco green chapisco,processo plantio fabricação pedra
252,oleo de menta,alho essencial limão aroma,processo água fabricação pedra
253,gostaria de indicacoes de destilarias que produzem oleo de menta vou utilizar este oleo na producao de sabonete liquido para lavar as maos,alho essencial limão aroma,processo processo fabricação fabricação
254,cola de contato a base de agua,cola adesivo colagem colar,processo água fabricação pedra
255,para aplicacao de laminas naturais sobre o mdf utilizo cola de contato tipo vinilica tomei conhecimento de uma cola de contato a base de agua gostaria de saber sbre a eficiencia desse produto fabrico pequenos objetos como caixas porta retratos etc,cola adesivo colagem colar,processo processo fabricação fabricação
256,pocos de petroleo,saúde contaminação poço grupo,processo processo fabricação fabricação
257,gostaria de saber qual o dispersante poderia misturar os oleos e emulsoes fluidos utilizadosna perfuracao de pocos de petroleo para reduzir a viscosidade,saúde contaminação poço grupo,processo processo fabricação fabricação
258,cura a vapor de blocos de concreto com funcao estrutural,concreto cimento impermeabilizante traço,processo água fabricação pedra
259,como e o processo de cura a vapor de blocos estruturais de concreto,concreto cimento impermeabilizante traço,processo água fabricação pedra
260,cultivo de hortalicas por hidroponia,sistema solução convencional cultivo,processo água fabricação pedra
261,na hidroponia qual e o tempo de plantio e de colheita das seguintes verduras alface agriao e rucula quais os sais minerais e as quantidades empregadas no plantio das hortalicas que tipo de equipamentos e aparelhos sao utilizado na analise do ph que apresente resultados na medicao das quantidades de sais indicando quando a agua ja esta no momento de ser descartada necessito de todas as informacoes possiveis desde a implantacao a producao custos mistura agua adubo,sistema solução convencional cultivo,processo plantio fabricação pedra
262,mentol cristalizado para alimentos,alho essencial limão aroma,processo plantio fabricação fabricação
263,gostaria de saber se mentol cristalizado pode ser usado em alimentos,alho essencial limão aroma,processo processo fabricação fabricação
264,danos ambientais causados por gas,espuma poliuretano gelo refrigeração,processo processo fabricação pedra
265,quais os danos que o gas pode causar ao meio ambiente,espuma poliuretano gelo refrigeração,processo água fabricação pedra
266,goma guar em panificacao,goma fita som gravação,processo processo fabricação fabricação
267,funcao da goma guar em produtos de panificacao fritos,goma fita som gravação,processo processo fabricação fabricação
268,revestimento para polipropileno e poliestireno,isopor isolamento térmico poliestireno,processo processo fabricação fabricação
269,gostaria de saber como e feita a pintura de peca em polipropileno e poliestireno tem algumas pecas que possuem tem algumas acabamentos que sao conhecidos como tartaruga e bicolorobrigado,isopor isolamento térmico poliestireno,processo processo fabricação fabricação
